experiment,checkpoint,agent,agent1_rew,agent2_rew,agent3_rew,agent4_rew,vs_random,agent_random
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,025500000,first_0,-19.91304347826087,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,026000000,first_0,-19.833333333333332,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,026500000,first_0,-19.017543859649123,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,027000000,first_0,-18.89189189189189,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,027500000,first_0,-20.953488372093023,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,028000000,first_0,-19.487179487179485,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,028500000,first_0,-19.653333333333332,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,029000000,first_0,-19.52542372881356,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,029500000,first_0,-21.0,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,002500000,first_0,-1.5633802816901408,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,030000000,first_0,-22.2,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,030500000,first_0,-23.41176470588235,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,031000000,first_0,-17.48,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,031500000,first_0,-18.10909090909091,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,032000000,first_0,-21.838709677419356,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,032500000,first_0,-18.033333333333335,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,033000000,first_0,-19.75438596491228,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,033500000,first_0,-15.473684210526315,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,034000000,first_0,-19.451612903225808,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,034500000,first_0,-21.066666666666666,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,003000000,first_0,-2.9295774647887325,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,035000000,first_0,-22.0,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,035500000,first_0,-19.25,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,036000000,first_0,-21.593220338983052,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,036500000,first_0,-18.166666666666668,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,037000000,first_0,-19.04225352112676,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,037500000,first_0,-20.55,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,038000000,first_0,-22.3953488372093,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,038500000,first_0,-19.91044776119403,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,039000000,first_0,-23.025,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,039500000,first_0,-20.347826086956523,nan,nan,nan,False,False
experiments/ppo_train/shared_ppo_boxing_v1_RB1_F50000000_S0,003500000,first_0,-25.112676056338028,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,040000000,first_0,-20.753623188405797,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,040500000,first_0,-21.17241379310345,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,041000000,first_0,-20.253164556962027,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,041500000,first_0,-22.160919540229884,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,042000000,first_0,-23.066666666666666,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,042500000,first_0,-20.564102564102566,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,043000000,first_0,-22.640776699029125,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,043500000,first_0,-18.47887323943662,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,044000000,first_0,-22.29850746268657,nan,nan,nan,False,False
experiments/ppo_train/shared_rainbow_double_dunk_v2_RB1000000_F50000000_S0,044500000,first_0,-23.640449438202246,nan,nan,nan,False,False
